Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Xgg0bhjK57PJ6WLYOi3oY,"Levo","Iffy","Recondite",2014-11-10,282746,46,false,gijsdehuu,2026-03-20T16:32:15Z,"melodieuze techno,minimal techno,techno","Innervisions",0.722,0.53,7,-11.049,0,0.0656,0.00172,0.944,0.0998,0.0903,123.005,4
spotify:track:38V2t1E84HuZt9YO3GJszU,"Xerrox Monophaser 2","Xerrox, Vol. 2","alva noto",2009-01-26,331733,27,false,gijsdehuu,2026-03-20T16:32:40Z,"drone,glitch,ambient,idm,minimalisme,elektroakoestisch,experimenteel","NOTON",0.0762,0.116,1,-20.653,1,0.0388,0.374,0.905,0.11,0.0279,78.912,3
spotify:track:7p6oXzBSPAXXz8Xb8gBPki,"Subzero - Original Mix","Before One EP","Ben Klock",2009-01-26,383972,46,false,gijsdehuu,2026-03-20T16:32:53Z,"techno,minimal techno,dub techno","Ostgut Ton",0.793,0.608,6,-11.638,0,0.0673,0.588,0.861,0.0991,0.118,124.988,4
spotify:track:75FeNPsfreU3K6ddpYWFtH,"Waterfall","Merchant of Salt","Rrose",2012-08-01,434090,27,false,gijsdehuu,2026-03-20T16:37:23Z,"dub techno,minimal techno,drone,techno","Eaux",0.747,0.702,2,-11.635,1,0.0421,0.00000359,0.91,0.0808,0.0398,125,4
spotify:track:553HOkDZQktOEBKvxTBPS1,"Spastik","Recycled Plastik","Plastikman;Richie Hawtin",1994-04-11,555626,40,false,gijsdehuu,2026-03-20T16:37:40Z,"minimal techno,acid house,idm,acid techno,dub techno,techno","Plus 8 Records",0.795,0.989,4,-9.836,1,0.0856,0.0015,0.939,0.565,0.0397,126.274,4
spotify:track:54TgI46OnNqcf0SyzQyCL6,"Atlas","Isles","BICEP",2021-01-22,348306,53,false,gijsdehuu,2026-03-20T16:38:02Z,"","Ninja Tune",0.544,0.793,3,-6.424,0,0.0319,0.1,0.95,0.173,0.126,128.981,4
spotify:track:0PqiJcvPiGOPuoIxPIcmO3,"Resurface","Control","Shifted",2011,335039,22,false,gijsdehuu,2026-03-20T17:09:23Z,"dub techno,minimal techno,techno","Mote Evolver",0.588,0.359,1,-14.204,1,0.0404,0.0526,0.811,0.0813,0.0336,130.027,4
