Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2dURQIBrw3XcHyVZlfdpC1,"Two of Hearts","Better Than Heaven","Stacey Q",1986,239693,68,false,gijsdehuu,2026-03-20T16:29:19Z,"hi-nrg,italo disco,freestyle","Atlantic Records",0.824,0.506,5,-7.12,0,0.0291,0.124,0,0.113,0.654,130.717,4
spotify:track:2fv6Qeb7Z3uaqBeYINvJ0f,"Dolce Vita","Ryan Paris","Ryan Paris",1984-01-01,229440,52,false,gijsdehuu,2026-03-20T16:29:49Z,"italo disco,italo dance","Catalog",0.869,0.682,1,-6.716,1,0.0327,0.179,0.0073,0.135,0.972,121.335,4
spotify:track:2pv4osNldxcOvAGSjeNJVw,"Happy Children","Springtime (Deluxe Edition)","P. Lion",2016-10-07,358960,47,false,gijsdehuu,2026-03-20T16:30:01Z,"italo disco,italo dance,hi-nrg","ZYX Music",0.85,0.947,0,-7.447,0,0.0395,0.101,0.0867,0.0511,0.89,112.939,4
spotify:track:70bVL8A7laNCj48wn8Q4BL,"Spacer Woman - Original Version","Spacer","Charlie",2007,442626,41,false,gijsdehuu,2026-03-20T16:30:14Z,"italo disco,hi-nrg,electroclash,chicago house","Mr. Disc",0.752,0.905,1,-9.54,0,0.0467,0.000116,0.763,0.0806,0.595,123.02,4
spotify:track:2FHnN5ELL83TGbtXMDzoiJ,"I Like Chopin","Portrait","Gazebo",1994-06-01,291720,62,false,gijsdehuu,2026-03-20T16:30:36Z,"italo disco,italo dance","SWR",0.779,0.635,2,-8.028,0,0.0282,0.577,0.000258,0.215,0.53,108.018,4
spotify:track:7ljCQ6dcWEfRuFHHxs1OCQ,"Another Life","Another Life","Kano",2013-07-25,432080,25,false,gijsdehuu,2026-03-20T16:30:56Z,"italo disco,hi-nrg,post-disco,italo dance,disco","Antibemusic",0.687,0.661,9,-13.11,0,0.0275,0.0147,0.0449,0.216,0.804,114.817,4
spotify:track:4pQOIxRikEmSOISk5SdH5V,"Living on Video","Living on Video (Claptone Remix)","Trans-X",2021-02-26,354333,61,false,gijsdehuu,2026-03-20T16:31:19Z,"hi-nrg,italo disco,disco","UNIDISC MUSIC INC.",0.591,0.776,0,-4.895,1,0.0656,0.0000632,0.111,0.135,0.674,131.064,4
